1,31.195~31.2,121.315~121.32
2,31.22~31.225,121.355~121.36
3,31.26~31.265,121.485~121.49
4,31.15~31.155,121.51~121.515
5,31.19~31.195,121.77~121.775
6,31.23~31.235,121.37~121.375
7,31.22~31.225,121.41~121.415
8,31.15~31.155,121.48~121.485
9,31.265~31.27,121.485~121.49
10,31.205~31.21,121.55~121.555
11,31.21~31.215,121.57~121.575
12,31.17~31.175,121.34~121.345
13,31.19~31.195,121.36~121.365
14,31.225~31.23,121.37~121.375
15,31.26~31.265,121.39~121.395
16,31.185~31.19,121.42~121.425
17,31.18~31.185,121.435~121.44
18,31.29~31.295,121.435~121.44
19,31.245~31.25,121.465~121.47
20,31.29~31.295,121.505~121.51
21,31.205~31.21,121.515~121.52
22,31.29~31.295,121.515~121.52
23,31.31~31.315,121.53~121.535
24,31.185~31.19,121.355~121.36
25,31.195~31.2,121.375~121.38
26,31.2~31.205,121.39~121.395
27,31.205~31.21,121.4~121.405
28,31.235~31.24,121.405~121.41
29,31.21~31.215,121.41~121.415
30,31.19~31.195,121.415~121.42
31,31.195~31.2,121.415~121.42
32,31.25~31.255,121.43~121.435
33,31.255~31.26,121.43~121.435
34,31.26~31.265,121.435~121.44
35,31.225~31.23,121.44~121.445
36,31.26~31.265,121.44~121.445
37,31.23~31.235,121.445~121.45
38,31.26~31.265,121.45~121.455
39,31.27~31.275,121.45~121.455
40,31.235~31.24,121.455~121.46
41,31.235~31.24,121.46~121.465
42,31.24~31.245,121.46~121.465
43,31.245~31.25,121.46~121.465
44,31.225~31.23,121.465~121.47
45,31.27~31.275,121.465~121.47
46,31.235~31.24,121.475~121.48
47,31.275~31.28,121.475~121.48
48,31.28~31.285,121.475~121.48
49,31.235~31.24,121.48~121.485
50,31.3~31.305,121.505~121.51
